,violation_code,violation_description,sum(total_payments)
0,0964140A,PARK OR STAND IN BUS/TAXI/CARRIAGE STAND,0
1,0980110B,HAZARDOUS DILAPIDATED VEHICLE,0
2,0980220,"IMPOUNDED: TEMP REG FALSE,STOLEN,ALTERED",0
3,0976180,SAFETY BELTS REQUIRED,25
4,0964060A,3-7 AM SNOW ROUTE,30
5,0964040,STREET CLEANING,50
6,0964040A,STREET CLEANING,50
7,0976010B,MOTORCYCLE BRAKES REQ'D DURING OPERATION,50
8,0964090,RESIDENTIAL PARKING PERMIT,60
9,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,60
10,0976180,SAFETY BELTS REQUIRED ON SCHOOL BUS,61
11,0976020C,ANTIQ VEH BRAKES:STOPPING CAPABILITY,75
12,0976070C,BACK-UP LAMP LIT DURING OPERATION,75
13,0976200C,SAFETY CHAINS REQUIRED,75
14,0976070D,MORE THAN FOUR FRONT MOUNTED LAMPS,147
15,0964160A,CURB LOADING ZONE,150
16,0964180,NO PARKING IN LOOP,180
17,0976060A,MORE THAN ONE OR IMPROPER SPOT LAMP,200
18,0976070B,IMPROPER RUNNING BOARD LAMPS,200
19,0976010A,BRAKES REQUIRED DURING OPERATION,200
20,0976030,WINDSHIELD WIPERS REQUIRED,261
21,0976060B,MORE THAN THREE OR IMPROPER AUX LAMP,272
22,0968040J,MOTOR RUNNING IN WRIGLEY BUS PERMIT ZONE,300
23,0976020E,BRAKES REQUIRED IN GOOD WORKING ORDER,372
24,0976130,TWO RED REAR TRAILER REFLECTORS REQUIRED,400
25,0976040A,HORN REQUIRED DURING OPERATION,572
26,0976090C,DEPR./DIMMED LAMPS,647
27,0976190,COMMERCIAL IDENTIFICATION ETC. REQUIRED,797
28,0976070A,IMPROPER SIDE COWL/FENDER LAMPS,1044
29,0976050E,2 REAR TRAILER LAMPS REQ'D VISIBLE 500',1119
30,0976050A,MOTORCYCLE HEAD LAMP VISIBLE 500',1216
31,0976100A,SUSPENSION MODIFIED BEYOND 3,1682
32,0964050J*,INVALID PLACARD,1800
33,0976090B,IMPROPER LAMP FOR PARKED VEH ON UNLIT ST,2082
34,0976140B,EXCESS FUMES/SMOKE DURING OPERATION,2130
35,0976020B,HAND BRAKES:PROPER STOPPING CAPABILITY,2173
36,0964041,SPECIAL EVENTS RESTRICTION,2410
37,0976020A,SERVICE BRAKES:STOPPING CAPABILITY,3215
38,0976080,IMPROPER LAMPS NON-MOTOR VEHICLE,3419
39,0976200A,PROJECTING LOAD (LEFT OR RIGHT SIDE),4434
40,0968040I,PARK/STAND IN WRIGLEY BUS PERMIT ZONE,5740
41,0964100H,THEATER ENTRANCE/EXIT,5873
42,0940220,NO OPERATOR SIGNAL,6061
43,0976200B,PROJECTING LOAD (REAR),6222
44,0976040B,USE OF SIREN/BELL/WHISTLE PROHIBITED,7383
45,0964160C,NO DISPLAY OF BACK-IN PERMIT,7461
46,0980130C,PARK IN CITY LOT OVER 30 DAYS,9832
47,0976110A,PROPER FRONT AND REAR BUMPERS REQUIRED,10382
48,0964150A,PARK OR STAND NEAR FIRE STATION OR RR XX,14511
49,0964110H,PARK OR STAND ON OR WITHIN 10' RR TRACKS,20949
50,0964091B,INDUSTRIAL PERMIT PARKING,21465
51,0976120,REAR VIEW MIRROR REQUIRED,21844
52,0964210,FAIL TO DISPLAY TV NEWS PERMIT,21972
53,0976160B,REAR PLATE REQUIRED MOTORCYCLE/TRAILER,24278
54,0976050D,REAR PLATE LIT AND LEGIBLE FOR 50',24746
55,0976140A,NO OR IMPROPER MUFFLER,27349
