"","violation_code","violation_description","total_payments"
"1","0976160","EXPIRED PLATE OR TEMPORARY REGISTRATION",84245433
"2","0964125","NO CITY STICKER OR IMPROPER DISPLAY",70147517
"3","0964040","STREET CLEANING",51123086
"4","0964090","RESIDENTIAL PARKING PERMIT",44174257
"5","0964190","EXPIRED METER OR OVERSTAY",42273620
"6","0964150B","PARKING/STANDING PROHIBITED ANYTIME",31845304
"7","0964080A","RUSH HOUR PARKING",27684555
"8","0964140","PARK OR STAND IN BUS/TAXI/CARRIAGE STAND",18772881
"9","0964100A","WITHIN 15' OF FIRE HYDRANT",16563961
"10","0964190A","EXP. METER NON-CENTRAL BUSINESS DISTRICT",11220066
"11","0964080B","NO STANDING/PARKING TIME RESTRICTED",10751386
"12","0964130","PARK OR BLOCK ALLEY",9011214
"13","0964110A","DOUBLE PARKING OR STANDING",7520906
"14","0964050","DISABLED PARKING",6903777
"15","0976220","OBSTRUCTED OR IMPROPERLY TINTED WINDOWS",6445473
"16","0964190B","EXPIRED METER CENTRAL BUSINESS DISTRICT",5739885
"17","0964100C","BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE",3464847
"18","0964110C","PARK OR STAND ON CROSSWALK",3420407
"19","0964020B","OBSTRUCT ROADWAY",2987018
"20","0964170A","TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",2552100
"21","0964160","CURB LOADING ZONE",2528367
"22","0964100G","STOP SIGN OR TRAFFIC SIGNAL",2037271
"23","0964110D","PARK OR STAND ON SIDEWALK",1971883
"24","0980110","HAZARDOUS DILAPIDATED VEHICLE",1606846
"25","0964060","3-7 AM SNOW ROUTE",1515410
"26","0912060","STAND, PARK, OR OTHER USE OF BUS LANE",1510063
"27","0964100D","DISABLED CURB CUT",1353970
"28","0976180","SAFETY BELTS REQUIRED",899965
"29","0980080A","PARK VEHICLE SOLE PURPOSE OF DISPLAYING FOR SALE",663927
"30","0964110E","PARK OR STAND ON PARKWAY",643288
"31","0964110G","PARK OR STAND IN VIADUCT/UNDERPASS",631319
"32","0964200B","OUTSIDE METERED SPACE",542005
"33","0964020A","WRONG DIRECTION OR 12'' FROM CURB",541824
"34","0964170D","TRUCK TRAILOR/SEMI/TRAILER PROHIBITED",418054
"35","0964100F","20'OF CROSSWALK",411202
"36","0976210B","WINDOWS MISSING OR CRACKED BEYOND 6",350292
"37","0964100B","PARK IN FIRE LANE",341942
"38","0964041","SPECIAL EVENTS RESTRICTION",296523
"39","0964170B","TRUCK,MOTOR HOME, BUS BUSINESS STREET",296420
"40","0940060","PARK/STAND ON BICYCLE PATH",278872
"41","0964070","SNOW ROUTE: 2in OF SNOW OR MORE",275473
"42","0980130B","PARK IN CITY LOT WHEN CLOSED",249354
"43","0980130A","FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT",235219
"44","0964030B","OUTSIDE DIAGONAL MARKINGS",223044
"45","0980120B","NO PARK IN PRIVATE LOT",213253
"46","0964091","INDUSTRIAL PERMIT PARKING",187186
"47","0940080","PARKED/STANDING UNATTENDED W/MOTOR RUNNI",115990
"48","0976170","NO CITY STICKER OR IMPROPER DISPLAY",110702
"49","0964180","NO PARKING IN LOOP",104009
"50","0964120A","PARK OR STAND ON CITY PROPERTY",101791
"51","0976150B","BURGLAR ALARM SOUNDING OVER 4 MINUTES",92932
"52","0980120A","NO PARK IN PUBLIC LOT",86607
"53","0964100E","UNDER FIRE ESCAPE",82269
"54","0964110F","PARK OR STAND ON BRIDGE",70466
"55","0976050B","TWO HEAD LAMPS REQUIRED VISIBLE 1000'",63747
"56","0964120B","PARK OR STAND ON CHA PROPERTY",61770
"57","0980080B","PARK VEHICLE TO GREASE OR REPAIR",56754
"58","0976210A","LAMPS BROKEN OR INOPERABLE",42953
"59","0964110B","PARK OR STAND WITHIN INTERSECTION",42553
"60","0964170C","VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK",39220
"61","0980080C","PARK VEHICLE TO SELL MERCHANDISE",31248
"62","0940170","UNSAFE CONDITION",28508
"63","0976050C","RED REAR LAMP REQUIRED VISIBLE 500'",27480
"64","0976140A","NO OR IMPROPER MUFFLER",27349
"65","0976050D","REAR PLATE LIT AND LEGIBLE FOR 50'",24746
"66","0964210","FAIL TO DISPLAY TV NEWS PERMIT",21972
"67","0976120","REAR VIEW MIRROR REQUIRED",21844
"68","0964110H","PARK OR STAND ON OR WITHIN 10' RR TRACKS",20949
"69","0964150A","PARK OR STAND NEAR FIRE STATION OR RR XX",14511
"70","0976110A","PROPER FRONT AND REAR BUMPERS REQUIRED",10382
"71","0980130C","PARK IN CITY LOT OVER 30 DAYS",9832
"72","0976040","USE OF SIREN/BELL/WHISTLE PROHIBITED",7955
"73","0964160C","NO DISPLAY OF BACK-IN PERMIT",7461
"74","0976200B","PROJECTING LOAD (REAR)",6222
"75","0940220","NO OPERATOR SIGNAL",6061
"76","0968040","PARK/STAND IN WRIGLEY BUS PERMIT ZONE",6040
"77","0964100H","THEATER ENTRANCE/EXIT",5873
"78","0976200A","PROJECTING LOAD (LEFT OR RIGHT SIDE)",4434
"79","0976080","IMPROPER LAMPS NON-MOTOR VEHICLE",3419
"80","0976020A","SERVICE BRAKES:STOPPING CAPABILITY",3215
"81","0976020B","HAND BRAKES:PROPER STOPPING CAPABILITY",2173
"82","0976140B","EXCESS FUMES/SMOKE DURING OPERATION",2130
"83","0976090B","IMPROPER LAMP FOR PARKED VEH ON UNLIT ST",2082
"84","0964050J*","INVALID PLACARD",1800
"85","0976100A","SUSPENSION MODIFIED BEYOND 3",1682
"86","0976050A","MOTORCYCLE HEAD LAMP VISIBLE 500'",1216
"87","0976050E","2 REAR TRAILER LAMPS REQ'D VISIBLE 500'",1119
"88","0976070A","IMPROPER SIDE COWL/FENDER LAMPS",1044
"89","0976190","COMMERCIAL IDENTIFICATION ETC. REQUIRED",797
"90","0976090C","DEPR./DIMMED LAMPS",647
"91","0976130","TWO RED REAR TRAILER REFLECTORS REQUIRED",400
"92","0976020E","BRAKES REQUIRED IN GOOD WORKING ORDER",372
"93","0976060B","MORE THAN THREE OR IMPROPER AUX LAMP",272
"94","0976030","WINDSHIELD WIPERS REQUIRED",261
"95","0976010","BRAKES REQUIRED DURING OPERATION",250
"96","0976060A","MORE THAN ONE OR IMPROPER SPOT LAMP",200
"97","0976070B","IMPROPER RUNNING BOARD LAMPS",200
"98","0976070D","MORE THAN FOUR FRONT MOUNTED LAMPS",147
"99","0976020C","ANTIQ VEH BRAKES:STOPPING CAPABILITY",75
"100","0976070C","BACK-UP LAMP LIT DURING OPERATION",75
"101","0976200C","SAFETY CHAINS REQUIRED",75
"102","0980220","IMPOUNDED: TEMP REG FALSE,STOLEN,ALTERED",0
