"","violation_code","violation_description","avg_payments"
"1","0964050","DISABLED PARKING",129.463867952308
"2","0964130","PARK OR BLOCK ALLEY",107.359432894502
"3","0964100C","BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE",105.939185470556
"4","0940060","PARK/STAND ON BICYCLE PATH",103.979120059657
"5","0976170","NO CITY STICKER OR IMPROPER DISPLAY",103.945539906103
"6","0964125","NO CITY STICKER OR IMPROPER DISPLAY",103.685996943261
"7","0964100A","WITHIN 15' OF FIRE HYDRANT",97.33601100057
"8","0964110A","DOUBLE PARKING OR STANDING",92.0641678499731
"9","0964100B","PARK IN FIRE LANE",89.8428796636889
"10","0912060","STAND, PARK, OR OTHER USE OF BUS LANE",82.5847962811047
"11","0964150A","PARK OR STAND NEAR FIRE STATION OR RR XX",82.4488636363636
"12","0976140A","NO OR IMPROPER MUFFLER",79.0433526011561
"13","0964100E","UNDER FIRE ESCAPE",78.801724137931
"14","0964110G","PARK OR STAND IN VIADUCT/UNDERPASS",75.6161216912205
"15","0964100D","DISABLED CURB CUT",75.3922824210702
"16","0964050J*","INVALID PLACARD",75
"17","0964110F","PARK OR STAND ON BRIDGE",73.097510373444
"18","0964170D","TRUCK TRAILOR/SEMI/TRAILER PROHIBITED",69.214238410596
"19","0964110B","PARK OR STAND WITHIN INTERSECTION",68.4131832797428
"20","0964110H","PARK OR STAND ON OR WITHIN 10' RR TRACKS",67.5774193548387
"21","0964020B","OBSTRUCT ROADWAY",59.5070921985816
"22","0964090","RESIDENTIAL PARKING PERMIT",58.1115784262066
"23","0964080A","RUSH HOUR PARKING",56.794772376187
"24","0964041","SPECIAL EVENTS RESTRICTION",56.6406198316746
"25","0964080B","NO STANDING/PARKING TIME RESTRICTED",56.0940902711474
"26","0940080","PARKED/STANDING UNATTENDED W/MOTOR RUNNI",55.1807802093245
"27","0964110E","PARK OR STAND ON PARKWAY",55.0571722013009
"28","0964110C","PARK OR STAND ON CROSSWALK",54.9586573687255
"29","0976220","OBSTRUCTED OR IMPROPERLY TINTED WINDOWS",54.1332336803848
"30","0964150B","PARKING/STANDING PROHIBITED ANYTIME",53.8310251040013
"31","0964110D","PARK OR STAND ON SIDEWALK",52.9137283314549
"32","0964091","INDUSTRIAL PERMIT PARKING",51.9211116037089
"33","0964160","CURB LOADING ZONE",51.5608072615721
"34","0964190","EXPIRED METER OR OVERSTAY",51.2527415504476
"35","0964040","STREET CLEANING",50.892393734193
"36","0968040","PARK/STAND IN WRIGLEY BUS PERMIT ZONE",50.84375
"37","0964100G","STOP SIGN OR TRAFFIC SIGNAL",50.4387363521577
"38","0964100F","20'OF CROSSWALK",49.975935828877
"39","0964190B","EXPIRED METER CENTRAL BUSINESS DISTRICT",49.6951135045281
"40","0964180","NO PARKING IN LOOP",48.8232414793329
"41","0964160C","NO DISPLAY OF BACK-IN PERMIT",48.4480519480519
"42","0980080C","PARK VEHICLE TO SELL MERCHANDISE",47.6341463414634
"43","0964140","PARK OR STAND IN BUS/TAXI/CARRIAGE STAND",46.9441732641824
"44","0980080B","PARK VEHICLE TO GREASE OR REPAIR",46.8267326732673
"45","0964170C","VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK",46.3046044864227
"46","0980130B","PARK IN CITY LOT WHEN CLOSED",41.7958431109621
"47","0964070","SNOW ROUTE: 2in OF SNOW OR MORE",41.7176495823848
"48","0964060","3-7 AM SNOW ROUTE",40.7595273091182
"49","0964030B","OUTSIDE DIAGONAL MARKINGS",40.4872027591214
"50","0964210","FAIL TO DISPLAY TV NEWS PERMIT",39.7323688969259
"51","0980120A","NO PARK IN PUBLIC LOT",38.8198117436127
"52","0976160","EXPIRED PLATE OR TEMPORARY REGISTRATION",38.3521065565899
"53","0964100H","THEATER ENTRANCE/EXIT",37.6474358974359
"54","0976070D","MORE THAN FOUR FRONT MOUNTED LAMPS",36.75
"55","0964120B","PARK OR STAND ON CHA PROPERTY",36.4855286473715
"56","0980130A","FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT",36.148609190103
"57","0976060B","MORE THAN THREE OR IMPROPER AUX LAMP",34
"58","0964120A","PARK OR STAND ON CITY PROPERTY",33.33038637852
"59","0980080A","PARK VEHICLE SOLE PURPOSE OF DISPLAYING FOR SALE",31.8125059894586
"60","0964190A","EXP. METER NON-CENTRAL BUSINESS DISTRICT",31.388487598543
"61","0976180","SAFETY BELTS REQUIRED",30.5977757904664
"62","0964200B","OUTSIDE METERED SPACE",29.3868127004172
"63","0976150B","BURGLAR ALARM SOUNDING OVER 4 MINUTES",29.196355639334
"64","0976040","USE OF SIREN/BELL/WHISTLE PROHIBITED",28.8479593791914
"65","0976080","IMPROPER LAMPS NON-MOTOR VEHICLE",27.5725806451613
"66","0976070A","IMPROPER SIDE COWL/FENDER LAMPS",26.7692307692308
"67","0976020A","SERVICE BRAKES:STOPPING CAPABILITY",26.5702479338843
"68","0980130C","PARK IN CITY LOT OVER 30 DAYS",26.3592493297587
"69","0976200B","PROJECTING LOAD (REAR)",25.5
"70","0964020A","WRONG DIRECTION OR 12'' FROM CURB",25.2245810055866
"71","0976070C","BACK-UP LAMP LIT DURING OPERATION",25
"72","0976200C","SAFETY CHAINS REQUIRED",25
"73","0976020B","HAND BRAKES:PROPER STOPPING CAPABILITY",24.6931818181818
"74","0976050B","TWO HEAD LAMPS REQUIRED VISIBLE 1000'",24.4804147465438
"75","0976200A","PROJECTING LOAD (LEFT OR RIGHT SIDE)",24.2295081967213
"76","0980120B","NO PARK IN PRIVATE LOT",24.0909399005874
"77","0976050D","REAR PLATE LIT AND LEGIBLE FOR 50'",23.6351480420248
"78","0976130","TWO RED REAR TRAILER REFLECTORS REQUIRED",23.5294117647059
"79","0976050C","RED REAR LAMP REQUIRED VISIBLE 500'",22.9958158995816
"80","0940220","NO OPERATOR SIGNAL",22.7003745318352
"81","0964170B","TRUCK,MOTOR HOME, BUS BUSINESS STREET",22.4986717267552
"82","0976210A","LAMPS BROKEN OR INOPERABLE",22.3016614745587
"83","0976090B","IMPROPER LAMP FOR PARKED VEH ON UNLIT ST",21.9157894736842
"84","0976140B","EXCESS FUMES/SMOKE DURING OPERATION",21.734693877551
"85","0964170A","TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",21.6321825440552
"86","0976110A","PROPER FRONT AND REAR BUMPERS REQUIRED",20.4370078740157
"87","0976120","REAR VIEW MIRROR REQUIRED",20.2259259259259
"88","0976210B","WINDOWS MISSING OR CRACKED BEYOND 6",20.1967250922509
"89","0976060A","MORE THAN ONE OR IMPROPER SPOT LAMP",20
"90","0976070B","IMPROPER RUNNING BOARD LAMPS",20
"91","0976050E","2 REAR TRAILER LAMPS REQ'D VISIBLE 500'",19.9821428571429
"92","0976100A","SUSPENSION MODIFIED BEYOND 3",19.7882352941176
"93","0980110","HAZARDOUS DILAPIDATED VEHICLE",19.2590056165805
"94","0976010","BRAKES REQUIRED DURING OPERATION",18.75
"95","0976020C","ANTIQ VEH BRAKES:STOPPING CAPABILITY",18.75
"96","0976190","COMMERCIAL IDENTIFICATION ETC. REQUIRED",18.5348837209302
"97","0940170","UNSAFE CONDITION",18.3567289117836
"98","0976050A","MOTORCYCLE HEAD LAMP VISIBLE 500'",17.8823529411765
"99","0976090C","DEPR./DIMMED LAMPS",16.175
"100","0976020E","BRAKES REQUIRED IN GOOD WORKING ORDER",13.7777777777778
"101","0976030","WINDSHIELD WIPERS REQUIRED",11.3478260869565
"102","0980220","IMPOUNDED: TEMP REG FALSE,STOLEN,ALTERED",0
