,license_plate_number,count
0,603e09c12c607a2ecfdc8062d4120edd10b2f5499d76fb4cc5d7a8ec73f9e04d,154741
1,e9da919cc452d86e9eef0021d53660d97af0222726b6b91a5bed124d129aceed,651
2,a865795339abe6481e1d7ff0045bf85da19df648f60e2829ae6b4066130efe53,473
3,8298fb7281dd7e9b37c8ac5cd60b34c987511ecc04efcee872232bde2fdb26a6,384
4,3271411212d41ce14c94d123b71b40c3dced2de3300106abcd973ed1db33e008,378
5,17708b2238277b0174cc14bcff02d23b58700d8ee863672d5def039a47a83d32,365
6,b1b2c46d45086d1ff33be06e086114fdd71a458a94bd31220824232ad4a7045a,333
7,66830a0de93c5c86b69703d03e78c50e82f3b14012f3bd70aff9a75425077e1c,326
8,bb37fb760ccc0197fa6019b7de94f76e5da87f55a59030d5c990ee4a8cb62402,320
9,ba6af903e9e298b15a113b015b11f853c1ba9e530ae9ea29501e94d47bf1eb09,301
